"id","subjid","testing","mode","condition","spatial","temporal_first","mask","start","end","time","section","temporal","topic","number","stimID","questype","key","text_key","response","text_response","accuracy","rt","falsetries","num_resp","resp_trajectory","resp_first","resp_first_time","resp_first_acc","resp_last","resp_last_time","resp_last_acc","trajectory","traj_first_length","traj_last_length"
"2","NONTURK576197584","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","NONTURK20150086","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","NONTURK576197584","false","forced","2","Superimposed","Superimposed first","1","2014/3/25 2 15:55","2014/3/25 2 16:32","36.5","Introduction","","","0","","","","","","","","9054","","","","","","","","","","","",""
"5","NONTURK576197584","false","forced","2","Superimposed","Superimposed first","1","2014/3/25 2 15:55","2014/3/25 2 16:32","36.5","Tutorial","","Binomial","0","","","","","","","","10136","","","","","","","","","","","",""
"6","NONTURK576197584","false","forced","2","Superimposed","Superimposed first","1","2014/3/25 2 15:55","2014/3/25 2 16:32","36.5","Tutorial","","Binomial","1","","","","","","","","14984","","","","","","","","","","","",""
"7","NONTURK576197584","false","forced","2","Superimposed","Superimposed first","1","2014/3/25 2 15:55","2014/3/25 2 16:32","36.5","Tutorial","","Binomial","2","","","","","","","","19591","","","","","","","","","","","",""
"8","NONTURK576197584","false","forced","2","Superimposed","Superimposed first","1","2014/3/25 2 15:55","2014/3/25 2 16:32","36.5","Tutorial","","Binomial","3","","","","","","","","10003","","","","","","","","","","","",""
"9","NONTURK576197584","false","forced","2","Superimposed","Superimposed first","1","2014/3/25 2 15:55","2014/3/25 2 16:32","36.5","Tutorial","","Binomial","4","","","","","","","","55620","","","","","","","","","","","",""
"10","NONTURK576197584","false","forced","2","Superimposed","Superimposed first","1","2014/3/25 2 15:55","2014/3/25 2 16:32","36.5","Tutorial","","Binomial","5","","","","","","","","5062","","","","","","","","","","","",""
"11","NONTURK576197584","false","forced","2","Superimposed","Superimposed first","1","2014/3/25 2 15:55","2014/3/25 2 16:32","36.5","Practice","Superimposed","Binomial","0","0","","","40,0.5","","","0","64632","1","2","40,0.25,40,0.5","40,0.25","42573","0","40,0.5","58964","1","40,0.25,40,0.25,40,0.25,100,0.25,40,0.25,100,0.25,40,0.25,40,0.5","7","8"
"12","NONTURK576197584","false","forced","2","Superimposed","Superimposed first","1","2014/3/25 2 15:55","2014/3/25 2 16:32","36.5","Practice","Superimposed","Binomial","1","1","","","","","","","9472","0","0","","","","","","","","","",""
"13","NONTURK576197584","false","forced","2","Superimposed","Superimposed first","1","2014/3/25 2 15:55","2014/3/25 2 16:32","36.5","Practice","Superimposed","Binomial","2","2","","","20,0.75","","","0","82681","3","3","20,0.25,20,0.25,40,0.25","20,0.25","29761","0","40,0.25","64567","0","20,0.25,40,0.25,100,0.25,100,0.5,100,0.25,20,0.25,40,0.25,20,0.25,20,0.75","1","7"
"14","NONTURK576197584","false","forced","2","Superimposed","Superimposed first","1","2014/3/25 2 15:55","2014/3/25 2 16:32","36.5","Practice","Superimposed","Binomial","3","3","","","20,0.5","","","1","38859","0","1","20,0.5","20,0.5","31978","1","20,0.5","31978","1","20,0.5,20,0.5,40,0.5,100,0.5,20,0.5,20,0.5","6","6"
"15","NONTURK576197584","false","forced","2","Superimposed","Superimposed first","1","2014/3/25 2 15:55","2014/3/25 2 16:32","36.5","Practice","Superimposed","Binomial","4","4","","","40,0.5","","","1","9761","0","1","40,0.5","40,0.5","8765","1","40,0.5","8765","1","20,0.5,40,0.5","2","2"
"16","NONTURK576197584","false","forced","2","Superimposed","Superimposed first","1","2014/3/25 2 15:55","2014/3/25 2 16:32","36.5","Practice","Superimposed","Binomial","5","5","","","100,0.5","","","1","8217","0","1","100,0.5","100,0.5","7014","1","100,0.5","7014","1","20,0.5,100,0.5","2","2"
"17","NONTURK576197584","false","forced","2","Superimposed","Superimposed first","1","2014/3/25 2 15:55","2014/3/25 2 16:32","36.5","Practice","Superimposed","Binomial","6","6","","","100,0.25","","","1","11625","0","1","100,0.25","100,0.25","10677","1","100,0.25","10677","1","40,0.25,100,0.25","2","2"
"18","NONTURK576197584","false","forced","2","Superimposed","Superimposed first","1","2014/3/25 2 15:55","2014/3/25 2 16:32","36.5","Practice","Superimposed","Binomial","7","7","","","100,0.75","","","1","17077","0","1","100,0.75","100,0.75","15330","1","100,0.75","15330","1","20,0.75,40,0.75,100,0.75","3","3"
"19","NONTURK576197584","false","forced","2","Superimposed","Superimposed first","1","2014/3/25 2 15:55","2014/3/25 2 16:32","36.5","Practice","Superimposed","Binomial","8","8","","","100,0.5","","","0","25777","2","3","100,0.25,100,0.75,100,0.5","100,0.25","8588","0","100,0.5","24788","1","20,0.25,100,0.25,100,0.75,100,0.5,100,0.75,100,0.5","2","6"
"20","NONTURK576197584","false","forced","2","Superimposed","Superimposed first","1","2014/3/25 2 15:55","2014/3/25 2 16:32","36.5","Practice","Superimposed","Binomial","9","9","","","","","","","10284","0","0","","","","","","","","","",""
"21","NONTURK576197584","false","forced","2","Superimposed","Superimposed first","1","2014/3/25 2 15:55","2014/3/25 2 16:32","36.5","Practice","Superimposed","Binomial","10","10","","","20,0.25","","","1","29129","0","1","20,0.25","20,0.25","26415","1","20,0.25","26415","1","100,0.25,100,0.5,100,0.25,20,0.25","4","4"
"22","NONTURK576197584","false","forced","2","Superimposed","Superimposed first","1","2014/3/25 2 15:55","2014/3/25 2 16:32","36.5","Practice","Superimposed","Binomial","11","11","","","20,0.75","","","1","8345","0","1","20,0.75","20,0.75","7190","1","20,0.75","7190","1","20,0.75","1","1"
